ベンダ,GRAPHTEC Corporation
モデル,GL240
ファームウェア,Ver1.54
ソフトウェア, "Ver1.25"
最大CH数,10CH
GS開始CH
WL開始CH,10CH
測定間隔,10min
測定点数,890         
トリガ点,0           
開始時刻,2025-12-02,12:07:48
終了時刻,2025-12-08,16:17:58
トリガ時刻,2025-12-02,12:07:58
AC Mode, AC1_2, AC1_2
Logic/Pulse,Off,Off
アンプ設定
CH,信号名,アンプ,入力,レンジ,温度レンジ,フィルタ,スパン,,単位
CH1,CH 1,M,DC,1-5V,,20,80.000000,-20.000000,ﾟC
CH2,CH 2,M,DC,1-5V,,20,100.000000,0.000000,%
CH3,CH 3,M,DC,2V,,20,40.000000,-60.000000,ﾟC
CH4,CH 4,M,DC,2V,,20,50.000000,-50.000000,%
CH5,CH 5,M,DC,100mV,,20,1250.000000,-1250.000000,W/m2
CH6,CH 6,M,DC,100V,,20,50.000000,-50.000000,V
CH7,CH 7,M,DC,100V,,20,50.000000,-50.000000,V
CH8,CH 8,M,DC,100V,,20,50.000000,-50.000000,V
CH9,CH 9,M,DC,100V,,20,50.000000,-50.000000,V
CH10,CH10,M,DC,100V,,20,70.000000,-30.000000,V
測定値
番号,日付 時間,ms,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,Alarm1,AlarmOut
NO.,Time,ms,ﾟC,%,ﾟC,%,W/m2,V,V,V,V,V,A1234567890,A123456789
1,2025-12-02 12:07:58,000,+26.088,+57.788,+17.685,+21.570,+49.9,+0.00,+0.00,-0.01,+0.00,+0.00,LLLLLLLLLL,LLLLL
2,2025-12-02 12:17:58,000,+26.425,+56.475,+17.805,+21.650,+52.5,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
3,2025-12-02 12:27:58,000,+26.525,+55.319,+17.970,+21.640,+53.5,+0.00,+0.00,+0.01,+0.00,+0.00,LLLLLLLLLL,LLLLL
4,2025-12-02 12:37:58,000,+26.363,+49.662,+18.125,+21.630,+50.5,+0.00,-0.01,-0.01,-0.01,-0.01,LLLLLLLLLL,LLLLL
5,2025-12-02 12:47:58,000,+25.987,+52.200,+18.215,+21.630,+50.5,-0.01,-0.01,-0.01,+0.00,-0.01,LLLLLLLLLL,LLLLL
6,2025-12-02 12:57:58,000,+25.694,+54.400,+18.360,+21.630,+123.6,-0.01,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
7,2025-12-02 13:07:58,000,+25.950,+57.569,+18.600,+21.690,+138.8,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
8,2025-12-02 13:17:58,000,+26.800,+55.338,+18.870,+21.760,+115.4,-0.01,-0.01,-0.01,-0.01,-0.01,LLLLLLLLLL,LLLLL
9,2025-12-02 13:27:58,000,+27.750,+51.963,+19.130,+21.750,+87.5,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
10,2025-12-02 13:37:58,000,+28.481,+49.662,+19.345,+21.760,+100.8,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
11,2025-12-02 13:47:58,000,+28.775,+41.981,+19.480,+21.740,+53.5,+0.00,-0.01,-0.01,+0.00,-0.01,LLLLLLLLLL,LLLLL
12,2025-12-02 13:57:58,000,+28.300,+41.775,+19.570,+21.740,+29.9,+0.00,+0.00,+0.01,+0.01,+0.01,LLLLLLLLLL,LLLLL
