収穫日,企業名,収穫野菜名,収穫量
2025/11/26,NaITO/葉物野菜,ベビーリーフ ロロロッサ,200
2025/11/26,マルテー/葉物野菜,ベビーリーフ ピノグリーン,80
2025/11/26,富士機材/葉物野菜,ベビーリーフ ロログリーン,460
2025/11/26,サンテレホン/葉物野菜,ベビーリーフ ピノグリーン,280
2025/11/26,日本ロレアル/加工BL,加工BL,160
2025/11/26,日本ロレアル/葉物野菜,ベビーリーフ グリーンオーク,80
2025/11/26,富士機材/葉物野菜,パセリ,760
2025/11/26,富士機械/葉物野菜,ベビーリーフ ロロロッサ,860
2025/11/26,富士機械/葉物野菜,ベビーリーフ ロロロッサ,540
2025/11/26,慈誠会/葉物野菜,ベビーリーフ ロロロッサ,260
2025/11/26,東レ/葉物野菜,ベビーリーフ レッドオーク,360
2025/11/26,牧野フライス/葉物野菜,ベビーリーフ グリーンオーク,60
2025/11/26,岡部/葉物野菜,ベビーリーフ レッドオーク,"1,760"
2025/11/26,日本ファブテック/葉物野菜,ベビーリーフ グリーンオーク,160
2025/11/26,日建/加工BL,加工BL,260
2025/11/26,日建/葉物野菜,ベビーリーフ グリーンオーク,180
2025/11/26,サンセイランディテック/加工BL,加工BL,140
2025/11/26,サンセイランディテック/葉物野菜,ベビーリーフ グリーンオーク,160
2025/11/26,慈誠会/葉物野菜,ベビーリーフ ロロロッサ,520
2025/11/26,ケイアイ/葉物野菜,ベビーリーフ レッドオーク,660
2025/11/26,富士機械/葉物野菜,ベビーリーフ ピノグリーン,820
2025/11/26,昭和女子/,ベビーリーフ グリーンケール,280
2025/11/26,バリュエンス/葉物野菜,ベビーリーフ ロロロッサ,560
2025/11/26,岡部/葉物野菜,ベビーリーフ グリーンオーク,400
2025/11/26,NaITO/加工BL,加工BL,120
2025/11/26,NaITO/葉物野菜,ベビーリーフ ロロロッサ,160
2025/11/26,日建/葉物野菜,ベビーリーフ ロロロッサ,160
2025/11/26,富士機材/葉物野菜,ベビーリーフ ロログリーン,840
2025/11/26,東レ/葉物野菜,ベビーリーフ ロロロッサ,600
2025/11/26,東レ/加工BL,加工BL,20
2025/11/26,QB/加工BL,加工BL,100
2025/11/26,QB/葉物野菜,ベビーリーフ グリーンオーク,160
2025/11/26,日建/葉物野菜,ベビーリーフ ピノグリーン,40
2025/11/26,日建/加工BL,加工BL,40
2025/11/26,昭和女子/加工BL,加工BL,120
2025/11/26,慈誠会/葉物野菜,ベビーリーフ ロロロッサ,340
2025/11/26,東レ/葉物野菜,ベビーリーフ レッドオーク,300
2025/11/26,東レ/加工BL,加工BL,20
2025/11/26,牧野フライス/加工BL,加工BL,120
2025/11/26,Adobe/葉物野菜,ベビーリーフ ロログリーン,"1,080"
2025/11/26,NaITO/加工BL,加工BL,120
2025/11/27,日建/ミニトマト,ミニトマト,740
2025/11/27,岡部/葉物野菜,ベビーリーフ グリーンオーク,280
2025/11/27,NaITO/加工BL,加工BL,160
2025/11/27,NaITO/葉物野菜,ベビーリーフ ロロロッサ,160
2025/11/27,バリュエンス/,ブロッコリースプラウト,"1,160"
2025/11/27,QB/葉物野菜,ベビーリーフ ピノグリーン,120
2025/11/27,QB/葉物野菜,ベビーリーフ グリーンオーク,160
2025/11/27,東レ/加工BL,加工BL,120
2025/11/27,東レ/葉物野菜,ベビーリーフ ロロロッサ,260
2025/11/27,慈誠会/葉物野菜,ベビーリーフ ロロロッサ,360
2025/11/27,ケイアイ/葉物野菜,ベビーリーフ レッドオーク,"1,140"
2025/11/27,バリュエンス/葉物野菜,ベビーリーフ グリーンオーク,600
2025/11/27,富士機械/葉物野菜,ベビーリーフ ロロロッサ,"1,400"
2025/11/27,マルテー/葉物野菜,ベビーリーフ ピノグリーン,220
2025/11/27,昭和女子/加工BL,加工BL,20
2025/11/27,昭和女子/葉物野菜,ベビーリーフ グリーンオーク,380
2025/11/27,サンテレホン/葉物野菜,ベビーリーフ ピノグリーン,500
2025/11/27,東レ/葉物野菜,ベビーリーフ レッドオーク,120
2025/11/27,慈誠会/葉物野菜,ベビーリーフ ロロロッサ,720
2025/11/27,三和/葉物野菜,ベビーリーフ グリーンオーク,900
2025/11/27,マルテー/葉物野菜,ベビーリーフ ピノグリーン,120
2025/11/27,岡部/葉物野菜,ベビーリーフ グリーンオーク,320
2025/11/27,QB/加工BL,加工BL,120
2025/11/27,QB/葉物野菜,ベビーリーフ グリーンオーク,280
2025/11/27,日建/葉物野菜,ベビーリーフ グリーンオーク,80
2025/11/27,富士機材/葉物野菜,ベビーリーフ ロログリーン,200
2025/11/27,QB/加工BL,加工BL,100
2025/11/27,QB/葉物野菜,ベビーリーフ ピノグリーン,100
2025/11/27,日建/加工BL,加工BL,100
2025/11/27,日建/葉物野菜,ベビーリーフ ピノグリーン,100
2025/11/27,三和/葉物野菜,ベビーリーフ グリーンオーク,780
2025/11/27,岡部/葉物野菜,ベビーリーフ レッドオーク,420
2025/11/27,バリュエンス/,ブロッコリースプラウト,"1,000"
2025/11/27,Adobe/葉物野菜,ベビーリーフ ロログリーン,540
2025/11/27,バリュエンス/加工BL,加工BL,140
2025/11/27,バリュエンス/葉物野菜,ベビーリーフ ロロロッサ,180
2025/11/27,ケイアイ/加工BL,加工BL,260
2025/11/27,富士機材/葉物野菜,ベビーリーフ ロログリーン,420
2025/11/27,日建/葉物野菜,島唐辛子,660
2025/11/28,日建/葉物野菜,ベビーリーフ ピノグリーン,60
2025/11/28,富士機材/葉物野菜,ベビーリーフ ロログリーン,400
2025/11/28,QB/加工BL,加工BL,100
2025/11/28,QB/葉物野菜,ベビーリーフ グリーンオーク,180
2025/11/28,QB/加工BL,加工BL,120
2025/11/28,慈誠会/葉物野菜,ベビーリーフ ロロロッサ,240
2025/11/28,マルテー/葉物野菜,ベビーリーフ ピノグリーン,"1,560"
2025/11/28,バリュエンス/葉物野菜,ベビーリーフ グリーンオーク,180
2025/11/28,マルテー/葉物野菜,ベビーリーフ ピノグリーン,540
2025/11/28,ケイアイ/加工BL,加工BL,160
2025/11/28,ソリトン/葉物野菜,ベビーリーフ ロログリーン,"1,300"
2025/11/28,サンセイランディテック/加工BL,加工BL,20
2025/11/28,サンセイランディテック/葉物野菜,ベビーリーフ グリーンオーク,80
2025/11/28,日本ファブテック/葉物野菜,ベビーリーフ グリーンオーク,60
2025/11/28,日建/加工BL,加工BL,260
2025/11/28,サンテレホン/葉物野菜,ベビーリーフ ピノグリーン,280
2025/11/28,ケイアイ/葉物野菜,ベビーリーフ レッドオーク,240
